<pad>|0
<sos>|1
<eos>|2
<blank>|3
<unk>|4
漳|5
岩|6
秧|7
铜|8
婉|9
富|10
渡|11
朴|12
祉|13
藕|14
认|15
勤|16
飘|17
诀|18
风|19
痉|20
恰|21
钰|22
艋|23
各|24
竭|25
谓|26
漯|27
鄢|28
匾|29
凰|30
显|31
绿|32
乒|33
画|34
进|35
花|36
洁|37
坤|38
隙|39
妃|40
汶|41
苡|42
磴|43
那|44
党|45
唁|46
镯|47
缝|48
倩|49
葆|50
隼|51
狒|52
扼|53
岐|54
必|55
袄|56
攥|57
靴|58
丁|59
鳞|60
芦|61
珮|62
置|63
咚|64
汗|65
翼|66
肾|67
兆|68
连|69
鸡|70
恍|71
吃|72
筛|73
刹|74
尬|75
衅|76
垅|77
侑|78
烙|79
见|80
笋|81
充|82
仲|83
脏|84
队|85
诈|86
败|87
习|88
湿|89
藩|90
绅|91
ｂ|92
垢|93
之|94
璀|95
鹏|96
嘭|97
亿|98
抒|99
榔|100
启|101
榆|102
璐|103
术|104
榜|105
陬|106
纵|107
均|108
懊|109
茄|110
泉|111
浓|112
饱|113
轶|114
勾|115
该|116
像|117
设|118
纸|119
孕|120
澳|121
衰|122
廓|123
俐|124
资|125
百|126
绣|127
限|128
渲|129
瓣|130
户|131
慈|132
叠|133
钵|134
饲|135
闫|136
觊|137
薇|138
爽|139
浇|140
诫|141
脚|142
芳|143
蝶|144
恳|145
韧|146
零|147
慰|148
火|149
漂|150
射|151
啶|152
腻|153
碰|154
扳|155
雁|156
本|157
屎|158
讹|159
革|160
泡|161
忪|162
存|163
眷|164
跤|165
木|166
窑|167
甚|168
喊|169
揣|170
邝|171
碚|172
右|173
浦|174
笃|175
迸|176
丧|177
堪|178
颖|179
玥|180
珏|181
谱|182
湄|183
渐|184
袖|185
扑|186
裳|187
炊|188
醋|189
遵|190
洞|191
瞬|192
堂|193
蕙|194
堕|195
楞|196
姓|197
沙|198
扣|199
离|200
贷|201
鞭|202
杳|203
悴|204
雏|205
捕|206
格|207
撤|208
篮|209
炼|210
演|211
序|212
奇|213
螂|214
裹|215
焘|216
改|217
侧|218
腾|219
睁|220
化|221
禄|222
掺|223
钴|224
跑|225
好|226
颜|227
辄|228
遮|229
彤|230
锜|231
ｔ|232
舍|233
戈|234
姗|235
监|236
募|237
羡|238
歆|239
津|240
蹈|241
窖|242
阙|243
馋|244
隋|245
泯|246
琳|247
莞|248
躺|249
泄|250
炽|251
玩|252
脸|253
墅|254
拥|255
摩|256
捧|257
ｃ|258
雹|259
斡|260
耄|261
甯|262
例|263
胰|264
苦|265
泔|266
苇|267
腱|268
缠|269
浮|270
叶|271
逍|272
悯|273
寺|274
所|275
冗|276
问|277
笼|278
普|279
犁|280
闻|281
忱|282
仓|283
副|284
搜|285
蜕|286
援|287
矫|288
钊|289
热|290
祈|291
鸵|292
庄|293
怠|294
僵|295
父|296
槌|297
杀|298
毕|299
芷|300
抽|301
矩|302
祖|303
瑾|304
屌|305
诩|306
裂|307
跻|308
逐|309
蹂|310
脖|311
宴|312
暇|313
厘|314
谚|315
纪|316
或|317
诓|318
弧|319
憷|320
嘈|321
顾|322
舱|323
硚|324
飓|325
箔|326
鹜|327
琉|328
吼|329
吴|330
捆|331
锰|332
绚|333
贮|334
橘|335
质|336
寝|337
瑶|338
猬|339
幸|340
莱|341
舵|342
逊|343
吐|344
井|345
初|346
娩|347
饵|348
方|349
旱|350
郫|351
服|352
测|353
唤|354
页|355
恋|356
略|357
锡|358
应|359
沥|360
驿|361
耋|362
碴|363
谤|364
趣|365
钥|366
薯|367
傻|368
滢|369
靑|370
葬|371
涟|372
诏|373
君|374
孩|375
咫|376
寅|377
呢|378
砲|379
湍|380
嗦|381
舟|382
撬|383
励|384
排|385
增|386
省|387
培|388
因|389
博|390
凌|391
批|392
擅|393
诺|394
冒|395
碎|396
酯|397
半|398
顽|399
动|400
滩|401
夭|402
楔|403
奏|404
恪|405
赝|406
丰|407
帖|408
澡|409
敌|410
嚏|411
苗|412
臻|413
鏖|414
送|415
弥|416
咨|417
核|418
又|419
隘|420
侦|421
牟|422
蕾|423
赵|424
珑|425
旁|426
伟|427
璧|428
遴|429
噩|430
蠕|431
煮|432
垄|433
胀|434
殴|435
池|436
葱|437
替|438
忻|439
估|440
聂|441
浪|442
兑|443
氨|444
酋|445
钩|446
嬷|447
拘|448
广|449
诊|450
贱|451
茵|452
陌|453
岭|454
魔|455
软|456
仄|457
坟|458
稼|459
怒|460
晴|461
氪|462
涌|463
荫|464
狈|465
喵|466
厅|467
敛|468
葫|469
篷|470
啦|471
郑|472
亟|473
珊|474
竣|475
至|476
如|477
悚|478
摔|479
琼|480
移|481
鳌|482
椿|483
馊|484
玻|485
淌|486
瓦|487
塍|488
鸦|489
计|490
靳|491
偏|492
寸|493
洵|494
强|495
恿|496
寐|497
糗|498
梅|499
瓶|500
登|501
降|502
莺|503
刁|504
晚|505
岱|506
搬|507
爪|508
逮|509
畜|510
细|511
淫|512
枯|513
样|514
莹|515
螃|516
喷|517
董|518
汴|519
篡|520
骗|521
躏|522
也|523
猫|524
邓|525
溯|526
会|527
交|528
枷|529
柜|530
绢|531
请|532
础|533
味|534
屯|535
若|536
狰|537
惰|538
舶|539
盔|540
囚|541
棵|542
腓|543
五|544
男|545
抠|546
微|547
唱|548
惫|549
含|550
衙|551
耘|552
话|553
拢|554
亚|555
娅|556
罚|557
掴|558
烘|559
赦|560
往|561
